company_id,industry,employee_range
"38b5ecc62b0254e","Software and Technology","10,000+"
"3a0ce05de881206","Software and Technology","1,000 - 4,999"
"3e84cd6d95d291e","Software and Technology","500 - 999"
"3f5c3dec8a587ee","Software and Technology","250 - 499"
"40c45a0828fee30","Manufacturing","10,000+"
"41c1ca950f1421a","Manufacturing","5,000 - 9,999"
"449ff0bf3ed31ea","Software and Technology","100 - 249"
"45e47b10ea5d58a","Software and Technology","100 - 249"
"4622b17d646dbe7","Business Services","100 - 249"
"464a6a94a551026","Software and Technology","100 - 249"
"d6006d41c8baeea","Software and Technology","500 - 999"
"d6df0d75936ef3c","Hardware","1,000 - 4,999"
"dd97864706e9e95","Software and Technology","500 - 999"
"e2e7db4d315b60a","Associations","20 - 49"
"e4ae47e82512527","Financial Services","10,000+"
"e6946fa0c95efc6","Software and Technology","100 - 249"
"0a56da551eb0b6e","Software and Technology","10,000+"
"0c1da1941af4190","Software and Technology","500 - 999"
"129c93af2329efc","Software and Technology","100 - 249"
"12bbd10834e1607","Software and Technology","1,000 - 4,999"
"1546d273d2c1919","Software and Technology","20 - 49"
"1616c94dbd82694","Telecommunications","1,000 - 4,999"
"19b1a0791451021","Software and Technology","5,000 - 9,999"
"9029daa6102941f","Software and Technology","100 - 249"
"906f4ecdeb22c3b","Business Services","250 - 499"
"99f05366845e852","Software and Technology","250 - 499"
"9b5bc5cfff7beab","Software and Technology","5,000 - 9,999"
"a0bff5fc7a065b5","Software and Technology","100 - 249"
"a33ed4bd73b1069","Software and Technology","500 - 999"
"eaedc6072d76164","Software and Technology","20 - 49"
"eb52685ad19b850","Software and Technology","100 - 249"
"ed34795b7f0f5f6","Software and Technology","100 - 249"
"ee08aa5a318a5ce","Business Services","500 - 999"
"f0804e505e255c4","Software and Technology","100 - 249"
"f21c34408a6576f","Hardware","10,000+"
"fbdb8192275ad98","Software and Technology","100 - 249"
"ff127dc9fbb7636","Software and Technology","500 - 999"
"22e9d1e2dc2b318","Software and Technology","1,000 - 4,999"
"235fce190543453","Software and Technology","100 - 249"
"23f3378cb9b7251","Transportation and Logistics","1,000 - 4,999"
"2a183996c6c00fa","Business Services","250 - 499"
"2b31ab3572ddb1e","Business Services","250 - 499"
"792323c8570c019","Software and Technology","500 - 999"
"7dafb45a04b25fb","Software and Technology","250 - 499"
"7dd1c98f8fd8e26","Software and Technology","500 - 999"
"7ef0126dfc821c9","Business Services","10,000+"
"802684033c1c82e","Aerospace and Defense","10,000+"
"82f0f2ce26419a3","Consumer Goods and Services","10,000+"
"85a0a064c00da5a","Software and Technology","100 - 249"
"89e4e4fb936f7b4","Software and Technology","500 - 999"
"8b8036a84c9e56a","Software and Technology","100 - 249"
"8f5821bff2a5c77","Retail and Distribution","1,000 - 4,999"
"d35bbc5f05de9ae","Software and Technology","1,000 - 4,999"
"d3c3b5274f9c23b","Business Services","250 - 499"
"d81b07d7a2dfcbb","Software and Technology","20 - 49"
"da87dc214572821","Business Services","100 - 249"
"e28178a0055f489","Retail and Distribution","10,000+"
"e2b19883b29394c","Business Services","250 - 499"
"0e1fb33ef50fd96","Software and Technology","5,000 - 9,999"
"11727ec62fa8893","Software and Technology","100 - 249"
"1a2e3ceab53b960","Software and Technology","1,000 - 4,999"
"1bfe0cf388e8a0f","Software and Technology","1,000 - 4,999"
"1c61c933e7c76c9","Software and Technology","500 - 999"
"4c8cdef01dc8611","Business Services","1,000 - 4,999"
"4dd304b828ad63d","Software and Technology","250 - 499"
"4efbf40f703b648","Software and Technology","20 - 49"
"d6ae33b5bd96184","Business Services","250 - 499"
"da01b9590d758b0","Business Services","100 - 249"
"dae0051f01e8cfb","Telecommunications","10,000+"
"e0967be88b97d15","Telecommunications","1,000 - 4,999"
"e17ca12d80ab723","Business Services","1,000 - 4,999"
"e1e7f18717ee9e4","Software and Technology","100 - 249"
"e2000c907be7f28","Software and Technology","500 - 999"
"e422aabe654ca7a","Business Services","1,000 - 4,999"
"e42f03def7320e5","Software and Technology","250 - 499"
"e5b67c39d20fd08","Telecommunications","500 - 999"
"e86363753fc4cd2","Software and Technology","1,000 - 4,999"
"38f2a11545210db","Healthcare and Medical","10,000+"
"3cac1353ccd1dd5","Software and Technology","5,000 - 9,999"
"3d287cc299bce21","Software and Technology","1,000 - 4,999"
"410fd339a50492d","Business Services","10,000+"
"4243330e9cfa005","Software and Technology","1,000 - 4,999"
"435ffd49c8f1e98","Financial Services","10,000+"
"474efda71acd1af","Software and Technology","500 - 999"
"69fecf3f0a27c4b","Software and Technology","1,000 - 4,999"
"6ba40c0af79a844","Business Services","500 - 999"
"6ccdcafa34d7b3e","Software and Technology","1,000 - 4,999"
"72267ea888bc959","Software and Technology","100 - 249"
"744f52f1aec3843","Software and Technology","100 - 249"
"ee1b920e3740577","Software and Technology","250 - 499"
"f560aaa7d33947f","Software and Technology","100 - 249"
"f6ac7a88015964e","Software and Technology","500 - 999"
"f74ad4d94477591","Hardware","1,000 - 4,999"
"f8ee76e7d48cdf6","Software and Technology","100 - 249"
"fb5f2dd7ba35fb5","Software and Technology","10,000+"
"fe2835f3902ef19","Software and Technology","500 - 999"
"095179daeb1daf8","Software and Technology","1,000 - 4,999"
"0b3c2688916ecbd","Business Services","10,000+"
"0bec9b2f9d8ff6b","Software and Technology","5,000 - 9,999"
"0c7ed7014e9d7b4","Software and Technology","100 - 249"
"0ec78db2c7be600","Hardware","10,000+"
"7afc90c0778306b","Software and Technology","1,000 - 4,999"
"7f0f3cc43cfa394","Hardware","500 - 999"
"82ee3252905e23e","Financial Services","10,000+"
"839904e27ea92a8","Education","500 - 999"
"ba42022d58098f2","Financial Services","10,000+"
"bb8f596691ee8f4","Software and Technology","100 - 249"
"bccfb35186c7fa3","Software and Technology","500 - 999"
"bde8c4f085c9ce5","Software and Technology","100 - 249"
"c8e63373c9440e0","Software and Technology","10,000+"
"caf90ccb702e583","Business Services","10,000+"
"cdcd11ee3dc7c50","Software and Technology","5,000 - 9,999"
"ebded3972e7f2d6","Software and Technology","20 - 49"
"eed521091152811","Hardware","1,000 - 4,999"
"f08ff28450320ea","Software and Technology","250 - 499"
"f0bffcd57c86f12","Business Services","1,000 - 4,999"
"f448f6fe1c5f950","Healthcare and Medical","10,000+"
"f7ae7f73b6e0ad3","Manufacturing","10,000+"
